Unnamed: 0,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,rolling_avg_fwd_pkts,rolling_avg_bwd_pkts,fwd_pkt_len_avg_spark_func,fwd_pkt_len_avg_spark_sql,is_below_mean_init_bwd_win_byts,Src Country,Dst Country
6362461,172.31.65.20-1.0.176.98-445-32198-6,1.0.176.98,32198,172.31.65.20,445,6,2018-02-20 03:58:54,1023958,6,5,455.0,316.0,140.0,0.0,75.83333333333333,62.9362110923963,147.0,0.0,63.2,65.4194160781033,752.9605706484056,10.742628115606305,102395.80000000002,132049.36158859514,255919.0,4.0,1023913.0,204782.6,114474.72318726084,256026.0,4.0,1023901.0,255975.25,197.77491414905387,256204.0,255805.0,0,0,0,0,132,112,5.859615335785258,4.883012779821048,0.0,147.0,64.24999999999999,61.69002424143704,3805.659090909091,0,0,0,1,0,0,0,0,0.0,70.0909090909091,75.83333333333333,63.2,0,0,0,0,0,0,6,455,5,316,8192,0,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,7.6500548056882804,4.205952786458904,70.0,70.0,True,unknown,unknown
5913329,172.31.69.8-1.0.176.98-445-54327-6,1.0.176.98,54327,172.31.69.8,445,6,2018-02-20 08:56:39,272052,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.703071471630423,90684.0,157010.40896704904,271984.0,2.0,272052.0,136026.0,192366.98560823788,272050.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,72,32,11.027303603722816,3.6757678679076062,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,7.339020502998575,4.067003284619764,0.0,0.0,False,unknown,unknown
1358818,172.31.66.49-1.0.176.98-445-14079-6,1.0.176.98,14079,172.31.66.49,445,6,2018-02-20 08:29:46,1057551,6,5,455.0,338.0,140.0,0.0,75.83333333333333,62.9362110923963,145.0,0.0,67.6,69.75887040369847,749.8456339221466,10.401389625653987,105755.1,136419.8624886909,264935.0,6.0,1057503.0,211500.6,118229.81267133936,264977.0,6.0,1057509.0,264377.25,579.3302886379472,265132.0,263891.0,0,0,0,0,132,112,5.6734852503567215,4.7279043752972685,0.0,145.0,66.08333333333333,63.40269327995078,4019.901515151516,0,0,0,1,0,0,0,0,0.0,72.0909090909091,75.83333333333333,67.6,0,0,0,0,0,0,6,455,5,338,8192,0,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,7.2266851463751465,3.9380832973218083,70.0,70.0,True,unknown,unknown
6358830,172.31.65.20-1.0.176.98-445-31749-6,1.0.176.98,31749,172.31.65.20,445,6,2018-02-20 03:58:50,1308475,7,5,364.0,583.0,103.0,0.0,52.0,49.21720566360237,409.0,0.0,116.6,167.0038921702126,723.7432889432354,9.170981486081123,118952.27272727276,136312.60147476528,261790.0,34.0,1308475.0,218079.16666666663,106617.417956761,262620.0,451.0,1047520.0,261880.0,407.0945836043511,262450.0,261505.0,0,0,0,0,152,112,5.349739200213988,3.821242285867135,0.0,409.0,72.84615384615384,109.55048010989132,12001.307692307691,0,0,0,1,0,0,0,0,0.0,78.91666666666667,52.0,116.6,0,0,0,0,0,0,7,364,5,583,8192,257,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,7.848736769612159,4.299791520533727,51.5,51.5,True,unknown,unknown
3646331,172.31.66.25-1.0.176.98-445-48493-6,1.0.176.98,48493,172.31.66.25,445,6,2018-02-20 05:12:42,781507,5,4,373.0,172.0,140.0,0.0,74.6,70.2837107728384,133.0,0.0,43.0,62.75348595894893,697.3705929697368,11.516211627023177,97688.375,134603.50044475865,260424.0,45.0,781415.0,195353.75,129912.09500883023,260518.0,486.0,781443.0,260481.0,64.13267497929587,260532.0,260409.0,0,0,0,0,112,92,6.397895348346207,5.118316278676967,0.0,140.0,54.5,64.19804427619964,4121.38888888889,0,0,0,1,0,0,0,0,0.0,60.55555555555557,74.6,43.0,0,0,0,0,0,0,5,373,4,172,8192,0,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,9.754715265972363,4.246799920622421,70.0,70.0,True,unknown,unknown
2003798,172.31.64.109-1.0.176.98-445-18706-6,1.0.176.98,18706,172.31.64.109,445,6,2018-02-20 12:09:21,783031,5,4,373.0,172.0,140.0,0.0,74.6,70.2837107728384,133.0,0.0,43.0,62.75348595894893,696.0133123720517,11.493797818988009,97878.875,134881.8052809173,263978.0,47.0,782958.0,195739.5,130198.7985031608,264025.0,471.0,782965.0,260988.33333333328,2686.2163601119946,264090.0,259415.0,0,0,0,0,112,92,6.3854432327711175,5.108354586216894,0.0,140.0,54.5,64.19804427619964,4121.38888888889,0,0,0,1,0,0,0,0,0.0,60.55555555555557,74.6,43.0,0,0,0,0,0,0,5,373,4,172,8192,0,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,8.10787619229023,4.660245754792165,70.0,70.0,True,unknown,unknown
5081002,172.31.67.75-1.0.176.98-445-29792-6,1.0.176.98,29792,172.31.67.75,445,6,2018-02-20 09:03:08,773578,5,4,286.0,170.0,103.0,0.0,57.2,52.48523601928451,131.0,0.0,42.5,61.7980582219215,589.4686767203824,11.6342501984286,96697.25,133288.53988219905,257894.0,3.0,773515.0,193378.75,128917.4439150239,258047.0,3.0,773512.0,257837.33333333328,121.02203656084016,257957.0,257715.0,0,0,0,0,112,92,6.463472332460332,5.170777865968267,0.0,131.0,45.6,52.98469380658699,2807.3777777777777,0,0,0,1,0,0,0,0,0.0,50.66666666666666,57.2,42.5,0,0,0,0,0,0,5,286,4,170,8192,0,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,7.602349530366445,4.214627781510097,51.5,51.5,True,unknown,unknown
3007305,172.31.65.43-1.0.176.98-445-44724-6,1.0.176.98,44724,172.31.65.43,445,6,2018-02-20 05:12:08,264398,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.12870747887654,88132.66666666666,152199.13976870346,263877.0,102.0,264398.0,132199.0,186365.0632495265,263979.0,419.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,72,32,11.346530609157403,3.782176869719135,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,7.973760783748625,4.613992754463303,0.0,0.0,False,unknown,unknown
1773204,172.31.67.63-1.0.176.98-445-28882-6,1.0.176.98,28882,172.31.67.63,445,6,2018-02-20 10:05:56,1055079,6,5,455.0,338.0,140.0,0.0,75.83333333333333,62.9362110923963,145.0,0.0,67.6,69.75887040369847,751.6024866384412,10.425759587670685,105507.9,136077.71326582303,267773.0,3.0,1055013.0,211002.6,117986.4919929396,268006.0,3.0,1054985.0,263746.25,3286.378794864233,267942.0,260482.0,0,0,0,0,132,112,5.686777956911283,4.738981630759403,0.0,145.0,66.08333333333333,63.40269327995078,4019.901515151516,0,0,0,1,0,0,0,0,0.0,72.0909090909091,75.83333333333333,67.6,0,0,0,0,0,0,6,455,5,338,8192,0,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,6.05022711681735,4.903368115197339,70.0,70.0,True,unknown,unknown
6842365,172.31.67.104-1.0.176.98-445-15281-6,1.0.176.98,15281,172.31.67.104,445,6,2018-02-20 10:55:39,257492,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.534463206623895,85830.66666666666,148597.26218989817,257416.0,1.0,257492.0,128746.0,182072.9250877241,257491.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,72,32,11.65084740496792,3.883615801655974,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,7.7350568347888915,4.225365332177004,0.0,0.0,False,unknown,unknown
